Date,Open,High,Low,Close,Adj Close,Volume
2/1/2017,174.5,175.5,173.5,175.5,169.355362,5953500
2/2/2017,175,177,174.5,175.5,169.355362,5250500
2/3/2017,175,178.5,175,178.5,172.250336,5470600
2/6/2017,178.5,181.5,178.5,180.5,174.180313,8150800
2/7/2017,180.5,181,179,180,173.697815,3648600
2/8/2017,180,180,178.5,179,172.732819,2574200
2/9/2017,179.5,182.5,179.5,181,174.662796,7290700
2/10/2017,182,182.5,181,182.5,176.110275,3589100
2/13/2017,182.5,182.5,182.5,182.5,176.110275,0
2/14/2017,182,182.5,179,179,172.732819,2841700
