Symbol,Date,Open,High,Low,Close,Adj Close,Volume
ktb,42767,19,19.200001,18.9,19.200001,18.366062,21752200
ktb,42768,19.200001,19.200001,18.9,19,18.174747,40206000
ktb,42769,19,19.1,18.9,19.1,18.270405,48912400
ktb,42772,19.200001,19.299999,18.9,19,18.174747,77639200
ktb,42773,18.9,19.1,18.799999,19,18.174747,49866700
ktb,42774,19,19.200001,18.9,19,18.174747,57530300
ktb,42775,19.1,19.700001,19.1,19.5,18.65303,142179400
ktb,42776,19.6,19.6,19.4,19.4,18.557373,55991300
ktb,42779,19.4,19.4,19.4,19.4,18.557373,0
ktb,42780,19.5,19.700001,19.200001,19.4,18.557373,69731100
