Symbol,Date,Open,High,Low,Close,Adj Close,Volume
scb,2/1/2017,150.5,153,150.5,152,146.727814,6969200
scb,2/2/2017,152,153,151,151,145.762512,6529100
scb,2/3/2017,151,153.5,151,153,147.69313,6597700
scb,2/6/2017,154,155,153.5,154.5,149.141098,9901200
scb,2/7/2017,154.5,155,153.5,154,148.658447,3802600
scb,2/8/2017,153.5,154.5,153,154,148.658447,5747300
scb,2/9/2017,154.5,156,153.5,154,148.658447,6157400
scb,2/10/2017,154.5,155,154,154,148.658447,9620500
scb,2/13/2017,154,154,154,154,148.658447,0
scb,2/14/2017,155,156,153,154,148.658447,9754000
